timestamp,symbol,timeframe,value,price,signal
2025-07-16 17:35:00,BTC/USDT,5m,47.5,119663.25,BUY
2025-07-16 17:40:00,BTC/USDT,5m,32.25,119537.28,BUY
2025-07-16 17:45:00,BTC/USDT,5m,2.47,119318.72,BUY
2025-07-16 17:50:00,BTC/USDT,5m,-5.12,119337.99,SELL
2025-07-16 17:55:00,BTC/USDT,5m,-38.43,119081.36,SELL
2025-07-16 18:00:00,BTC/USDT,5m,-48.73,119073.34,SELL
2025-07-16 18:05:00,BTC/USDT,5m,-49.94,119091.58,SELL
2025-07-16 18:10:00,BTC/USDT,5m,-15.03,119446.68,SELL
2025-07-16 18:15:00,BTC/USDT,5m,-19.17,119333.65,SELL
2025-07-16 18:20:00,BTC/USDT,5m,-36.34,119132.29,SELL
2025-07-16 18:25:00,BTC/USDT,5m,-28.61,119231.92,SELL
2025-07-16 18:30:00,BTC/USDT,5m,-31.74,119186.99,SELL
2025-07-16 18:35:00,BTC/USDT,5m,5.87,119521.14,BUY
2025-07-16 18:40:00,BTC/USDT,5m,15.19,119548.6,BUY
2025-07-16 18:45:00,BTC/USDT,5m,36.53,119738.94,BUY
2025-07-16 18:50:00,BTC/USDT,5m,40.11,119682.01,BUY
2025-07-16 18:55:00,BTC/USDT,5m,26.01,119577.92,BUY
2025-07-16 19:00:00,BTC/USDT,5m,15.05,119553.54,BUY
2025-07-16 19:05:00,BTC/USDT,5m,5.24,119500.27,BUY
2025-07-16 19:10:00,BTC/USDT,5m,-14.97,119326.82,SELL
2025-07-16 19:15:00,BTC/USDT,5m,-38.19,119185.86,SELL
