timestamp,symbol,timeframe,value,price,signal
2025-07-16 17:35:00,BTC/USDT,5m,64.53,119663.25,-
2025-07-16 17:40:00,BTC/USDT,5m,60.0,119537.28,-
2025-07-16 17:45:00,BTC/USDT,5m,52.7,119318.72,-
2025-07-16 17:50:00,BTC/USDT,5m,53.06,119337.99,-
2025-07-16 17:55:00,BTC/USDT,5m,45.92,119081.36,-
2025-07-16 18:00:00,BTC/USDT,5m,45.71,119073.34,-
2025-07-16 18:05:00,BTC/USDT,5m,46.39,119091.58,-
2025-07-16 18:10:00,BTC/USDT,5m,56.14,119446.68,-
2025-07-16 18:15:00,BTC/USDT,5m,52.8,119333.65,-
2025-07-16 18:20:00,BTC/USDT,5m,47.36,119132.29,-
2025-07-16 18:25:00,BTC/USDT,5m,50.08,119231.92,-
2025-07-16 18:30:00,BTC/USDT,5m,48.87,119186.99,-
2025-07-16 18:35:00,BTC/USDT,5m,56.69,119521.14,-
2025-07-16 18:40:00,BTC/USDT,5m,57.47,119548.6,-
2025-07-16 18:45:00,BTC/USDT,5m,61.51,119738.94,-
2025-07-16 18:50:00,BTC/USDT,5m,58.69,119682.01,-
2025-07-16 18:55:00,BTC/USDT,5m,55.73,119577.92,-
2025-07-16 19:00:00,BTC/USDT,5m,54.9,119553.54,-
2025-07-16 19:05:00,BTC/USDT,5m,53.35,119500.27,-
2025-07-16 19:10:00,BTC/USDT,5m,48.41,119326.82,-
2025-07-16 19:15:00,BTC/USDT,5m,44.88,119185.86,-
